synopsis,rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio
"Angelica is a fresh-on-the-job elementary school teacher who follows her long time boyfriend Bryon to a new town. On the first day of school she notices one of her students (Willow) seems troubled and different from all the other kids. After a period of unbroken silence from Willow and violent behavior from her older brother Steven, Angelica learns that there is a problem far beyond her power to fix. When the children's dark family secret becomes known, Angelica does what she can to protect them, even if her own livelihood is at stake. As the situation unravels, so does her sanity in this story of deception, mystery and terror. The question is... ""What do you do when Daddy comes home?"" -- (C) Official Site",NR,Mystery and Suspense,Justin Price, Christina Trevino,2010-09-10,"Jun 26, 2012",,,90 minutes,Vanguard Cinema
"This is a romantic comedy set in Paris about a family that goes there because of business, and two young people who are engaged to be married in the fall have experiences there that change their lives. It's about a young man's great love for a city, Paris, and the illusion people have that a life different from theirs would be much better. It stars Owen Wilson, Rachel McAdams, Marion Cotillard, Kathy Bates, Carla Bruni, among others. -- (C) Sony Classics",PG-13,Comedy|Romance,Woody Allen,Woody Allen,2011-06-10,"Dec 20, 2011",$,"55,400,000",94 minutes,Sony Pictures Classics
"Jacqueline Kennedy Onassis sued him, Marlon Brando broke his jaw and Steve McQueen gave him a look that would have killed, if looks could kill. To the celebrities he pursued, photographer Ron Galella was the beast who threatened beauty. As it turned out, he gave them a strange and lasting beauty they might never have known without him. Inherent in the story of this notorious paparazzo are the complex issues of the right to privacy, freedom of the press and the ever-growing vortex of celebrity worship. He sneaked around and invaded and bribed and held up his camera and shot till he dropped (or someone dropped him). His was the artistry of the sniper. Yet Galella found something essential in his real-life subjects, and he gave it permanence.-- (C) Magnilia",PG-13,Documentary|Musical and Performing Arts|Special Interest,Leon Gast,,2010-07-30,"Oct 19, 2010",$,"2,367",88 minutes,Magnolia Pictures
"Take out the trash, eat your broccoli-who needs moms, anyway? Nine-year-old Milo (Seth Green) finds out just how much he needs his mom (Joan Cusack) when she's nabbed by Martians who plan to steal her mom-ness for their own young. Produced by the team behind Disney's A Christmas Carol and The Polar Express, Mars Needs Moms showcases Milo's quest to save his mom-a wild adventure in 3D that involves stowing away on a spaceship, navigating an elaborate, multi-level planet and taking on the alien nation and their leader (Mindy Sterling). With the help of a tech-savvy, underground earthman named Gribble (Dan Fogler) and a rebel Martian girl called Ki (Elisabeth Harnois), Milo just might find his way back to his mom-in more ways than one. Based on the Book by Berkeley Breathed. -- (C) Disney",PG,Action and Adventure|Animation|Comedy|Science Fiction and Fantasy,Simon Wells,Simon Wells|Wendy Wells,2011-03-11,"Aug 9, 2011",$,"21,379,315",88 minutes,Walt Disney Pictures
"On the slopes of an active volcano in Guatemala, a marriage is arranged for 17-year-old Maria by her Kaqchikel parents.",NR,Art House and International|Drama,Jayro Bustamante,Jayro Bustamante,2016-08-19,"Jan 17, 2017",$,"292,923",91 minutes,
"Nanni Moretti joins forces with the great French actor Michel Piccoli to tell the story of Melville, a cardinal who suddenly finds himself elected as the next Pope. Never the front runner and completely caught off guard, he panics as he's presented to the faithful in St. Peter's Square. To prevent a world wide crisis, the Vatican's spokesman calls in an unlikely psychiatrist who is neither religious or all that committed, played by Moretti, to find out what is wrong with the new Pope. As the world nervously waits outside, inside the therapist tries to find a solution. But Cardinal Melville is adamant: he does not want the job, or at least needs time to think it over. What follows is a marvelous insight into the concept of a human being existing behind the title of God's representative on Earth. -- (C) IFC",NR,Comedy|Drama,Nanni Moretti,Nanni Moretti|Federica Pontremoli|Francesco Piccolo,2012-04-06,"Sep 11, 2012",$,"480,926",104 minutes,IFC Films
"Premiering to rave reviews at the 2013 Sundance Film Festival, THE KINGS OF SUMMER is a unique coming-of-age comedy about three teenage friends - Joe (Nick Robinson), Patrick (Gabriel Basso) and the eccentric and unpredictable Biaggio (Moises Arias) - who, in the ultimate act of independence, decide to spend their summer building a house in the woods and living off the land. Free from their parents' rules, their idyllic summer quickly becomes a test of friendship as each boy learns to appreciate the fact that family - whether it is the one you're born into or the one you create - is something you can't run away from. (c) CBS Films",R,Comedy,Jordan Vogt-Roberts,Chris Galletta,2013-05-31,"Sep 24, 2013",$,"1,300,000",95 minutes,CBS Films
"Since the moment they met at age 5, Rosie (Lily Collins) and Alex (Sam Claflin) have been best friends, facing the highs and lows of growing up side by side. A fleeting shared moment, one missed opportunity, and the decisions that follow send their lives in completely different directions. As each navigates the complexities of life, love, and everything in between, they always find their way back to each other - but is it just friendship, or something more? Based on Cecelia Ahern's bestselling novel, LOVE, ROSIE is a heart-warming, modern comedy-of-errors posing the ultimate question: do we really only get one shot at true love?(C) Film Arcade",R,Comedy|Romance,Christian Ditter,Juliette Towhidi,2015-02-06,"May 5, 2015",,,102 minutes,Film Arcade
"From bestselling author, Max Lucado, comes The Christmas Candle, a timeless holiday film for the entire family. Deep in the heart of the English countryside lies the enchanting village of Gladbury. Legend has it every 25 years an angel visits the village candlemaker and touches a single candle. Whoever lights this candle receives a miracle on Christmas Eve. But in 1890, at the dawn of the electric age, this centuries old legend may come to an end. When David Richmond (Hans Matheson), a progressive young minister, arrives in Gladbury, the villagers discover a new formula for miracles: good deeds and acts of kindness. While David's quest to modernize Gladbury sets him at odds with the old world candlemaker, he finds an unlikely ally in the lovely skeptic, Emily Barstow (Samantha Barks). Now, the fiery candlemaker must fight to preserve the legacy of the Christmas Candle. But when the candle goes missing, the miraculous and human collide in the most astonishing Christmas the village of Gladbury has ever seen. (c) Official Facebook",PG,Drama|Kids and Family,John Stephenson,Candace Lee|Eric Newman,2013-11-22,"Nov 4, 2014",$,"2,209,479",100 minutes,Echolight Studios
"1970s-era DC antihero Jonah Hex makes his way to the big screen as co-screenwriters Mark Neveldine and Brian Taylor (Crank, Gamer) team to follow the disfigured gunslinger and part-time bounty hunter on his biggest adventure yet. Supernatural elements combine with Western aesthetics to take viewers on a wild and bloody ride, with Josh Brolin leading the way as Hex and John Malkovich stepping into the villainous role of Turnbull. Jimmy Hayward (Horton Hears a Who) directs.",PG-13,Action and Adventure|Drama|Horror|Western,Jimmy Hayward,Mark Neveldine|Brian Taylor,2010-06-18,"Oct 12, 2010",$,"10,500,000",84 minutes,Warner Bros. Pictures
"Now graduated from college and out in the real world where it takes more than a cappella to get by, the Bellas return in Pitch Perfect 3, the next chapter in the beloved series that has taken in more than",PG-13,Comedy,Trish Sie,Mike White|Kay Cannon,2017-12-22,"Mar 20, 2018",$,"104,880,310",,
"In the riveting suspense drama, CHAPPAQUIDDICK, the scandal and mysterious events surrounding the tragic drowning of a young woman, as Ted Kennedy drove his car off the infamous bridge, are revealed in the new movie starring Jason Clarke as Ted Kennedy and Kate Mara as Mary Jo Kopechne. Not only did this event take the life of an aspiring political strategist and Kennedy insider, but it ultimately changed the course of presidential history forever. Through true accounts, documented in the inquest from the investigation in 1969, director John Curran and writers Andrew Logan and Taylor Allen, intimately expose the broad reach of political power, the influence of America's most celebrated family; and the vulnerability of Ted Kennedy, the youngest son, in the shadow of his family legacy.",PG-13,Mystery and Suspense,John Curran,Taylor Allen|Andrew Logan,2018-04-06,"Jul 10, 2018",,,101 minutes,
"When a half-Chechen, half-Russian, brutally tortured immigrant turns up in Hamburg's Islamic community, laying claim to his father's ill-gotten fortune, both German and US security agencies take a close interest: as the clock ticks down and the stakes rise, the race is on to establish this most wanted man's true identity - oppressed victim or destruction-bent extremist? (c) Roadside Attractions",R,Drama|Mystery and Suspense,Anton Corbijn,Andrew Bovell,2014-07-25,"Nov 4, 2014",$,"14,037,964",121 minutes,Lionsgate/Roadside Attractions
Denzel Washington returns to one of his signature roles in the first sequel of his career. Robert McCall serves an unflinching justice for the exploited and oppressed - but how far will he go when that is someone he loves?,R,Action and Adventure|Mystery and Suspense,Antoine Fuqua,Richard Wenk,2018-07-20,"Dec 11, 2018",,,129 minutes,Columbia Pictures
"Some people have bad days. Henry Altmann (Williams) has one every day. Always unhappy and angry at the world including everyone in it, Henry sits impatiently at the doctor's office when he is finally seen by Dr. Sharon Gill (Kunis). Sharon, who is enduring her own bad day, reveals that Henry has a brain aneurysm. This news makes Henry even angrier, yelling at Sharon he demands to know how much time he has left. Faced with Henry's anger and insults, Sharon abruptly tells him he has only 90 minutes. Shocked and reeling by this news, Henry storms out of the office leaving Sharon stunned by what she has just done in a lapse of judgment. As Sharon goes on a city-wide search, Henry struggles with his diagnosis, determined to make amends with everyone he has hurt in his life. (c) Lionsgate",R,Comedy|Drama,Phil Alden Robinson,Daniel Taplitz,2014-05-23,"Jul 22, 2014",,,87 minutes,
"American tourist Frank (Johnny Depp) meets a mysterious beauty who drags him into a dangerous world of intrigue and espionage while traveling through Europe in director Florian Henckel von Donnersmarck's paranoid thriller. When Frank met Elise (Angelina Jolie) on the train, he thought it was a chance encounter. Little did Frank realize it was all part of a much bigger plan, one that would soon find him dodging bullets through both the historic streets of Paris and the winding canals of Venice. Now, the faster Frank and Elise run, the more intense their romance grows.",PG-13,Action and Adventure|Mystery and Suspense|Romance,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck|Christopher McQuarrie|Julian Fellowes,2010-12-10,"Mar 22, 2011",$,"67,631,157",103 minutes,Columbia Pictures
"After a long absence, gangster and father Ulysses Pick (Jason Patric) arrives home to a house haunted with memories, towing the body of a teenaged girl and a bound and gagged young man. His gang waits inside his house, having shot their way past police. There is friction in the ranks. Ulysses, however, is focused on one thing: journeying through the house, room by room, and reaching his wife Hyacinth (Isabella Rossellini) in her bedroom upstairs. The equilibrium of the house has been disturbed and his odyssey eventually becomes an emotional tour, as the ghostly nooks and crannies of the house reveal more about the mysterious Pick family. -- (C) Official Site",R,Art House and International|Drama|Mystery and Suspense,Guy Maddin,Guy Maddin|George Toles,2012-04-06,"Jun 18, 2012",$,"22,099",93 minutes,Monterey Media
"One of Filmmaker Magazine's ""25 New Faces of Independent Film,"" writer-director Tze Chun makes his feature film debut with one of the most-awarded and best-reviewed films of the year. CHILDREN OF INVENTION is by turns humorous and heartbreaking, an ""edge-of-your-seat family drama"" (Spout) that's both ""powerfully moving and rigorously intelligent.""(Boston Phoenix).After being evicted, hardworking single mom Elaine Cheng (Cindy Cheung, Lady in the Water) tries to maintain a normal life for her children, Raymond and Tina. Elaine juggles a number of jobs, including working for a questionable pyramid scheme. When Elaine doesn't return home one night, nobody knows the kids are home alone, and they are left to fend for themselves. As the days pass, Raymond, a budding inventor, realizes he needs to come up with a plan to take care of his little sister.Referencing both the mortgage meltdown and suburban Ponzi schemes, ""the film finds delicate moments of beauty and grace as its child heroes are forced to make their way"" (Filmmaker Magazine). Featuring ""gifted child actors--off-the-charts cute, refreshingly free of Hollywood precociousness"" (LA Weekly), CHILDREN OF INVENTION is ""as close to cinematic purity as one is likely to see this year"" (Film Society of Lincoln Center), a timely drama about the influence of the adult world on children and resilience in hard times.CHILDREN OF INVENTION made its world premiere at the 2009 Sundance Film Festival and won Grand Jury Prizes for Best Narrative Feature at the 2009 Newport International Film Festival, Independent Film Festival Boston, and Los Angeles Asian Pacific Film Festival, and Special Jury Prizes at the 2009 Sarasota, Nashville, Los Angeles Asian Pacific, and San Francisco International Asian American Film Festivals. It was the Opening Night Film at five film festivals and the Closing Night Film at two film festivals in 2009. -- (C) Official Site",NR,Drama,Tze Chun,Tze Chun,2010-03-12,"Aug 10, 2010",,,86 minutes,Independent Films
"Brigsby Bear Adventures is a children's TV show produced for an audience of one: James (Kyle Mooney). When the show abruptly ends, James' life changes forever, he sets out to finish the story himself and must learn to cope with the realities of a new world that he knows nothing about.",PG-13,Comedy,Dave McCary,Kevin Costello,2017-07-28,"Nov 14, 2017",$,"529,426",97 minutes,Sony Pictures Classics
"On the eve of graduating law school, Veronica Mars has put Neptune and her amateur sleuthing days behind her. While interviewing at high-end New York law firms, Veronica Mars gets a call from her ex-boyfriend Logan who has been accused of murder. Veronica heads back to Neptune just to help Logan find an attorney, but when things don't seem right with how Logan's case is perceived and handled, Veronica finds herself being pulled back into a life she thought she had left behind. (c) Official Site",PG-13,Comedy|Drama|Mystery and Suspense,,,2014-03-14,"May 6, 2014",$,"2,664,765",108 minutes,Warner Bros.
"In the 3D animated comedy, The Angry Birds Movie, we'll finally find out why the birds are so angry. The movie takes us to an island populated entirely by happy, flightless birds--or almost entirely. In this paradise, Red (Jason Sudeikis), a bird with a temper problem, speedy Chuck (Josh Gad), and the volatile Bomb (Danny McBride) have always been outsiders. But when the island is visited by mysterious green piggies, it's up to these unlikely outcasts to figure out what the pigs are up to.",PG,Animation|Kids and Family,Clay Kaytis|Fergal Reilly,Jon Vitti,2016-05-20,"Aug 16, 2016",$,"107,506,776",95 minutes,Sony Pictures
"When 22 year-old drug dealer Chris (Hirsch) has his stash of drugs stolen from him by his mother, he has to come up with six-thousand dollars quick, or he's dead. Desperate, he goes to the trailer-park to see his father, Ansel (Hayden Church), and he lays out the plan. Chris's mother, who everyone hates, has a life insurance policy that would clear up his debt and make them all rich. The problem is that Chris' mother is very much alive. Enter Detective ""Killer"" Joe Cooper, a hired hit man with the manners of a Southern gentleman, who will do the job - for an upfront fee, that Chris and Ansel can't pay. Just as Joe is about to leave, he spots Dottie (Temple), Chris' innocent younger sister. Joe makes Chris an offer, he'll keep Dottie as sexual collateral until the money is collected and his fee can be paid. -- (C) Voltage Pictures",R,Comedy|Mystery and Suspense,William Friedkin,Tracy Letts,2012-07-27,"Dec 21, 2012",$,"1,800,000",102 minutes,Independent Pictures
"Crime After Crime is the exclusive documentary film on the legal battle to free Debbie Peagler, a woman imprisoned for over a quarter century due to her connection to the murder of the man who abused her. She finds her only hope for freedom when two rookie attorneys with no background in criminal law step forward to take her case... -- (C) Official Site",NR,Documentary|Drama|Special Interest,Yoav Potash,,2011-07-01,"Apr 24, 2012",,,93 minutes,Independent Pictures
"Adapted from Bob Glaudini's play of the same name, Philip Seymour Hoffman's directorial debut, Jack Goes Boating, tells the simple tale of Jack (Hoffman), a shy, fortyish limo driver with a fondness for pot and reggae music -- he likes it because it sounds happy -- who meets Connie (Amy Ryan) for a blind date set up by Connie's co-worker Lucy (Daphne Rubin-Vega), who is married to Jack's best friend and fellow limo driver, Clyde (John Ortiz). As the young couple tentatively come together, breaking through layers and layers of awkwardness and low self-esteem, Clyde and Lucy's marriage begins to dissolve because of Clyde's inability to get over an incident from their past. All the while, Clyde gives Jack swimming lessons so that he can take Connie on her dream date -- a boating trip on the lake.",R,Comedy|Romance,Philip Seymour Hoffman,Bob Glaudini,2010-09-17,"Jan 18, 2011",$,"300,000",91 minutes,Fox Searchlight
"Set in a dystopic present where vigilant gargoyles and ferocious demons rage in a battle for ultimate power, Victor Frankenstein's creation Adam (Aaron Eckhart) finds himself caught in the middle as both sides race to discover the secret to his immortality. From the creators of the hit supernatural saga, UNDERWORLD, comes the action thriller I, FRANKENSTEIN, written for the screen and directed by Stuart Beattie based on the graphic novel ""I, Frankenstein"" by Kevin Grevioux, and brought to life by a cast that includes Aaron Eckhart, Bill Nighy, Yvonne Strahovski, Miranda Otto, Jai Courtney, Socratis Otto, Mahesh Jadu, Caitlin Stasey and Aden Young as Victor Frankenstein. (c) Lionsgate",PG-13,Horror|Mystery and Suspense|Science Fiction and Fantasy,Stuart Beattie,Stuart Beattie,2014-01-24,"May 13, 2014",$,"15,687,400",92 minutes,Lionsgate Films
"""Inherent Vice,"" is the seventh feature from Paul Thomas Anderson and the first ever film adaption of a Thomas Pynchon novel. When private eye Doc Sportello's ex-old lady suddenly out of nowhere shows up with a story about her current billionaire land developer boyfriend whom she just happens to be in love with, and a plot by his wife and her boyfriend to kidnap that billionaire and throw him in a looney bin...well, easy for her to say. It's the tail end of the psychedelic",R,Drama|Mystery and Suspense,Paul Thomas Anderson,Paul Thomas Anderson,2015-01-09,"Apr 28, 2015",$,"6,100,613",148 minutes,Warner Bros. Pictures
"Four moms whose only common ground is their kids' preschool class, decide to get together for a harmless ""fun mom dinner."" The night begins as a disaster, but the combination of alcohol, karaoke, and a cute bartender, leads to an unforgettable night where these seemingly different women realize they have more in common than motherhood and men.",R,Comedy,Alethea Jones,Julie Rudd,2017-08-04,"Aug 4, 2017",,,89 minutes,
"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",R,Comedy,Seth MacFarlane,Seth MacFarlane|Alec Sulkin|Wellesley Wild,2015-06-26,"Dec 15, 2015",$,"63,883,740",120 minutes,Universal Pictures
"The first feature film from Palestine by a female director, Salt of this Sea is the politically and emotionally explosive story of Soraya (Suheir Hammad), a Brooklyn-born woman of Palestinian lineage who comes to Israel to search for the land and ancestral home near Jaffa from where her grandparents were ejected 60 years ago. Once she arrives, reality strikes hard and her mission to claim what is hers and fulfill her lifelong dream to ""return"" to Palestine is obstructed at every turn. Having discovered that her grandfather's bank account was frozen and seized in 1948, she goes to the new Ramallah branch of the bank to claim the funds. Frustrated and deluded when her demands are rebuffed, she and her new Palestinian boyfriend Emad decide to take control of their own destinies by every means possible - even if it means breaking the law. -- (C) Lorber",NR,Drama|Romance,Annemarie Jacir,Annemarie Jacir,2010-08-13,"Jun 7, 2011",,,105 minutes,Lorber Films
"Set in London in 1921, Florence Cathcart (Rebecca Hall), author of the popular book ""Seeing Through Ghosts,"" has devoted her career to exposing claims of the supernatural as nothing but hoaxes. Haunted by the recent death of her fianc",R,Art House and International|Horror|Mystery and Suspense,Nick Murphy,Nick Murphy|Stephen Volk,2012-08-17,"Jan 29, 2013",$,"175,088",107 minutes,Cohen Media Group
"On a flight home to Chicago for a family wedding, childhood friends Josh (McRae) and Molly (Dollar) innocently agree to fake a wedding engagement to make Josh's dying father happy. Things quickly get out of hand with their two boisterous families, and a series of events causes them to not only pretend to be a couple but to start planning a phony wedding. When the playacting begins to foster real feelings, the chaos takes a greater turn in this hilarious, romantic comedy. (C) Freestyle",PG-13,Comedy|Romance,John Burgess,Dode Levenson,2015-02-06,"Feb 9, 2015",,,100 minutes,Freestyle Releasing
"Based on a true story, U.S. Customs agent ROBERT ""BOB"" MAZUR (Bryan Cranston) goes deep undercover to infiltrate Pablo Escobar's blood-soaked drug trafficking scene plaguing the nation in 1985 by posing as slick, money-laundering businessman Bob Musella. Teamed with impulsive and streetwise fellow agent EMIR EBREU (John Leguizamo) and rookie agent posing as his fianc",R,Drama,Brad Furman,Ellen Brown Furman,2016-07-13,"Oct 11, 2016",$,"15,425,870",127 minutes,Broad Green Pictures
Young parents Mac (Seth Rogen and Kelly Radnor (Rose Byrne) find their troubles are far from over in this sequel co-starring Zac Efron.,R,Comedy,Nicholas Stoller,,2016-05-20,"Sep 20, 2016",,,92 minutes,Universal Pictures
"Reverend Ernst Toller (Ethan Hawke) is a solitary, middle-aged parish pastor at a small Dutch Reform church in upstate New York on the cusp of celebrating its 250th anniversary. Once a stop on the Underground Railroad, the church is now a tourist attraction catering to a dwindling congregation, eclipsed by its nearby parent church, Abundant Life, with its state-of-the-art facilities and 5,000-strong flock. When a pregnant parishioner (Amanda Seyfried) asks Reverend Toller to counsel her husband, a radical environmentalist, the clergyman finds himself plunged into his own tormented past, and equally despairing future, until he finds redemption in an act of grandiose violence. From writer-director Paul Schrader (Taxi Driver; American Gigolo; Affliction) comes a gripping thriller about a crisis of faith that is at once personal, political, and planetary.",R,Drama,Paul Schrader,Paul Schrader,2018-05-18,"Aug 21, 2018",,,108 minutes,
"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI is a darkly comic drama from Academy Award winner Martin McDonagh (IN BRUGES). After months have passed without a culprit in her daughter's murder case, Mildred Hayes (Academy Award winner Frances McDormand) makes a bold move, painting three signs leading into her town with a controversial message directed at William Willoughby (Academy Award nominee Woody Harrelson), the town's revered chief of police. When his second-in-command Officer Dixon (Sam Rockwell), an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.",R,Comedy|Drama,Martin McDonagh,Martin McDonagh,2017-12-01,"Feb 27, 2018",$,"52,000,189",115 minutes,Fox Searchlight Pictures
"An all-star cast of action-movie icons headline Sylvester Stallone's explosive action thriller about a group of hard-nosed mercenaries who are double-crossed during a treacherous mission. Approached by the shadowy Church (Bruce Willis) to overthrow tyrannical South American dictator General Gaza (David Zayas) and restore order to the troubled island country of Vilena, stoic soldier of fortune Barney Ross (Stallone) rounds up an unstoppable team that includes former SAS soldier and blade specialist Lee Christmas (Jason Statham); martial arts expert Yin (Jet Li); trigger-happy Hale Caesar (Terry Crews); and cerebral demolitions expert Toll Road (Randy Couture). Traveling to Vilena on a reconnaissance mission with his old pal Christmas, Barney meets their local contact, a cagey guerrilla fighter named Sandra (Giselle Itie), and together the trio scopes out the landscape.. It isn't long before Barney and Christmas have discovered that their actual target is not General Gaza but James Monroe (Eric Roberts), a former CIA operative who has recently gone rogue. Monroe won't be easy to get to either, because his hulking bodyguard Paine (Steve Austin) is a force to be reckoned with. When their mission is compromised, Barney and Christmas are forced to flee, leaving Sandra behind to face almost certain death. But Barney isn't the kind of soldier to abandon a mission, or a hostage, and now in order to get the job done he'll need the help of his old crew.",R,Action and Adventure|Mystery and Suspense,Sylvester Stallone,Dave Callaham|Sylvester Stallone,2010-08-13,"Nov 23, 2010",$,"102,981,571",103 minutes,Lionsgate Films
A struggling writer and his wife move into a notoriously haunted house and enter into a terrifying struggle against the supernatural.,NR,Horror,Derek Cole,Stephen Twardokus,2012-10-01,"Feb 19, 2014",,,90 minutes,
"When Doris Miller meets John Fremont, her company's hip new art director, sparks fly-at least for Doris. In the cluttered house she shared with her late mother, Doris mines the Internet for information on her one-and-only, guided by the 13-year-old granddaughter of her best pal Roz. When Doris begins showing up at John's regular haunts, she wins over his Williamsburg friends. Her new life brings Doris a thrilling perspective, but also creates a rift between her and her longtime friends and family, who believe she's making a fool of herself over a guy half her age. Eager for all the experiences she has missed out on, Doris throws caution to the wind and follows her heart for the very first time.",R,Drama,Michael Showalter,Laura Terruso|Michael Showalter,2016-03-11,"Jun 14, 2016",$,"14,443,077",95 minutes,
"A has-been rock manager from Van Nuys, California stumbles upon a once-in-a-lifetime voice in a remote Afghan cave in Rock the Kasbah, a dramatic comedy inspired by stranger-than-fiction, real-life events and directed by Oscar winner Barry Levinson. Richie Lanz (Bill Murray), dumped and stranded in war-torn Kabul by his last remaining client (Zooey Deschanel), discovers Salima Khan (Leem Lubany), a Pashtun teenager with a beautiful voice and the courageous dream of becoming the first woman to compete on national television in Afghanistan's version of ""American Idol."" Richie partners with a savvy hooker (Kate Hudson), a pair of hard-partying war profiteers (Danny McBride and Scott Caan) and a hair-trigger mercenary (Bruce Willis) and, braving dangerous cultural prejudices, manages his new prot",R,Drama,Barry Levinson,Mitch Glazer,2015-10-23,"Feb 2, 2016",$,"1,940,202",100 minutes,Open Road Films
"Two mismatched wolves embark on a cross-country quest to get back home and restore peace in their pack after being relocated thousands of miles away by well-meaning park rangers. Quick-witted Humphrey (voice of Justin Long) likes to frolic with friends and play video games with squirrels; disciplined Kate (voice of Hayden Panettiere) likes to call the shots and hunt caribou. Normally, an omega wolf like Humphrey would never stand a chance with an alpha wolf like Kate, but when they're both transported halfway across the country they must work together to get back to their natural habitat. And it won't be easy either, because the one thing Humphrey and Kate can agree on is that they don't have anything in common. Perhaps by working together toward a common goal, however, the two contentious traveling companions will finally realize that even lone wolves can use a helping paw every once in a while. Christina Ricci, Danny Glover, Dennis Hopper, and Larry Miller also supply voices for the Crest Animation production, helmed by Anthony Bell and Ben Gluck from a script by Chris Denk.",PG,Action and Adventure|Animation|Comedy|Kids and Family,Anthony Bell|Ben Gluck|Benjamin Gluck,Steve Moore|Chris Denk,2010-09-17,"Jan 11, 2011",$,"25,077,977",88 minutes,Lionsgate Films
"At the end of the nineteenth century, 16-year-old Jay Cavendish (Kodi Smit-McPhee) journeys across the American frontier in search of the woman he loves. He is joined by Silas (Michael Fassbender), a mysterious traveler, and hotly pursued by an outlaw along the way.(C) A24 Films",R,Action and Adventure|Mystery and Suspense,,,2015-05-15,"Jul 7, 2015",,,84 minutes,A24 and DIRECTV
"The film is told from the point of view of 19-year-old private Billy Lynn, who, along with his fellow soldiers in Bravo Squad, has been hailed as a hero and brought home for a victory tour after a harrowing Iraq battle. Through flashbacks, culminating at the spectacular halftime show of the Thanksgiving Day football game, the film reveals what really happened to the squad - contrasting the realities of the Iraq conflict with America's celebration back home.",R,Drama,Ang Lee,Jean-Christophe Castelli,2016-11-18,"Feb 14, 2017",$,"1,736,708",110 minutes,Sony Pictures
"Brit (Ashley Benson), Candy (Vanessa Hudgens), Cotty (Rachel Korine) and Faith (Selena Gomez) have been best friends since grade school. They live together in a boring college dorm and are hungry for adventure. All they have to do is save enough money for spring break to get their shot at having some real fun. A serendipitous encounter with rapper ""Alien"" (James Franco) promises to provide the girls with all the thrill and excitement they could hope for. With the encouragement of their new friend, it soon becomes unclear how far the girls are willing to go to experience a spring break they will never forget. (c)Official Site",R,Action and Adventure|Art House and International|Comedy|Cult Movies|Drama,Harmony Korine,Harmony Korine,2013-03-22,"Jul 9, 2013",$,"13,900,000",93 minutes,A24 Films
"A sophisticated and moving comedy, THE EXTRA MAN follows Louis Ives (Paul Dano), a lonely dreamer who fancies himself the hero of an F. Scott Fitzgerald novel... When a deeply embarrassing incident forces him to leave his job at an exclusive Princeton prep school, Louis heads to New York City to make a fresh start. He quickly finds a nine-to-five job at an environmental magazine, where he encounters an entrancing, green-obsessed co-worker Mary (Katie Holmes). But it's Louis' new home life that really sparks his imagination. He rents a room in the ramshackle apartment of Henry Harrison (Kevin Kline), a penniless, wildly eccentric but brilliant playwright. When Henry's not dancing alone to obscure music or singing operettas, he's performing - with great panache - the duties of an ""extra man"", a social escort for the wealthy widows of Manhattan high society. These two men, separated in age by more than forty years, develop a volatile mentor/apprentice relationship. Through a series of urban adventures where they encounter everything from a leaping lion to a wildly jealous hirsute neighbor, from drunken nonagenarians to a shady Swiss hunchback, Louis and Henry form a memorable bond that bridges their differences.-- (C) Magnolia",R,Comedy,Robert Pulcini|Shari Springer Berman,Robert Pulcini|Jonathan Ames|Shari Springer Berman,2010-07-30,"Nov 16, 2010",$,"453,079",108 minutes,Magnolia Pictures
"Set in the world of electronic music and Hollywood nightlife, an aspiring 23-year-old DJ named Cole spends his days scheming with his childhood friends and his nights working on the one track that will set the world on fire. All of this changes when he meets a charismatic but damaged older DJ named James, who takes him under his wing. Things get complicated, however, when Cole starts falling for James' much younger girlfriend, Sophie. With Cole's forbidden relationship intensifying and his friendships unraveling, he must choose between love, loyalty, and the future he is destined for.",R,Drama,Max Joseph,Max Joseph|Meaghan Oppenheimer,2015-08-28,"Nov 17, 2015",,,96 minutes,
"Based on the inspiring true story of West High School girls' volleyball team. After the loss of the school's star player, Caroline ""Line"" Found, in an accident, the remaining team players must band together under the guidance of their tough-love coach in hope of winning the state championship.",PG,Drama,Sean McNamara,David Aaron Cohen|Elissa Matsueda,2018-04-06,"Jul 31, 2018",,,90 minutes,LD Entertainment
"In 1983, a group of childhood friends pulled off the crime of the century: kidnapping one of the richest men in the world, the heir of the Heineken beer empire (Anthony Hopkins). The shocking capture--by gunpoint in broad daylight on the streets of Amsterdam--resulted in the largest ransom ever paid for a kidnapped individual. It was truly the perfect crime...until they got away with it. Based on a true story, KIDNAPPING MR. HEINEKEN also stars Anthony Hopkins, Sam Worthington, Jim Sturgess and Ryan Kwanten. (C) Alchemy",R,Action and Adventure|Drama|Mystery and Suspense,Daniel Alfredson,William Brookfield,2015-03-06,"Apr 14, 2015",,,95 minutes,
"After a sexual assault by a random stranger, Samantha contracts what she thinks is an STD... but is in fact something much worse. (c) IFC Midnight",NR,Drama|Horror|Mystery and Suspense,Eric England,Eric England,2013-11-22,"Mar 18, 2014",$,"3,328",84 minutes,IFC Films
